17:25:33.390,19-09-03,0000074439,USBWrite,Datagram write error: 2!
17:25:33.390,19-09-03,0000074439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:25:42.270,19-09-03,0000075327,sm_power,TI_CN_TR_Reset: Transmit Pipe reset!
17:25:42.270,19-09-03,0000075327,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
22:26:26.630,19-09-03,0000372263,USBWrite,Datagram write error: 1!
22:26:26.630,19-09-03,0000372263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:26:41.630,19-09-03,0000373763,USBWrite,Datagram write error: 1!
22:26:41.630,19-09-03,0000373763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:26:57.630,19-09-03,0000375263,USBWrite,Datagram write error: 1!
22:26:57.630,19-09-03,0000375263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:27:12.630,19-09-03,0000376763,USBWrite,Datagram write error: 1!
22:27:12.630,19-09-03,0000376763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:27:27.630,19-09-03,0000378263,USBWrite,Datagram write error: 1!
22:27:27.630,19-09-03,0000378263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:27:43.630,19-09-03,0000379763,USBWrite,Datagram write error: 1!
22:27:43.630,19-09-03,0000379763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:27:58.630,19-09-03,0000381263,USBWrite,Datagram write error: 1!
22:27:58.630,19-09-03,0000381263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:28:13.630,19-09-03,0000382763,USBWrite,Datagram write error: 1!
22:28:13.630,19-09-03,0000382763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:28:29.630,19-09-03,0000384263,USBWrite,Datagram write error: 1!
22:28:29.630,19-09-03,0000384263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:28:44.630,19-09-03,0000385763,USBWrite,Datagram write error: 1!
22:28:44.630,19-09-03,0000385763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:29:00.630,19-09-03,0000387263,USBWrite,Datagram write error: 1!
22:29:00.630,19-09-03,0000387263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:29:15.630,19-09-03,0000388763,USBWrite,Datagram write error: 1!
22:29:15.630,19-09-03,0000388763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:29:30.630,19-09-03,0000390263,USBWrite,Datagram write error: 1!
22:29:30.630,19-09-03,0000390263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:29:46.630,19-09-03,0000391763,USBWrite,Datagram write error: 1!
22:29:46.630,19-09-03,0000391763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:30:01.630,19-09-03,0000393263,USBWrite,Datagram write error: 1!
22:30:01.630,19-09-03,0000393263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:30:16.630,19-09-03,0000394763,USBWrite,Datagram write error: 1!
22:30:16.630,19-09-03,0000394763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:30:32.630,19-09-03,0000396263,USBWrite,Datagram write error: 1!
22:30:32.630,19-09-03,0000396263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:30:47.630,19-09-03,0000397763,USBWrite,Datagram write error: 1!
22:30:47.630,19-09-03,0000397763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:31:03.630,19-09-03,0000399263,USBWrite,Datagram write error: 1!
22:31:03.630,19-09-03,0000399263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:31:18.630,19-09-03,0000400763,USBWrite,Datagram write error: 1!
22:31:18.630,19-09-03,0000400763,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:31:33.630,19-09-03,0000402263,USBWrite,Datagram write error: 1!
22:31:33.630,19-09-03,0000402263,USBWrite,usbWriteTaskEntry: write failed(0!=77).
22:31:46.290,19-09-03,0000403529,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
22:31:46.300,19-09-03,0000403530,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
12:22:07.240,19-09-07,0001241624,USBWrite,Datagram write error: 1!
12:22:07.240,19-09-07,0001241624,USBWrite,usbWriteTaskEntry: write failed(0!=77).
12:22:23.240,19-09-07,0001243124,USBWrite,Datagram write error: 1!
12:22:23.240,19-09-07,0001243124,USBWrite,usbWriteTaskEntry: write failed(0!=77).
12:22:38.240,19-09-07,0001244624,USBWrite,Datagram write error: 1!
12:22:38.240,19-09-07,0001244624,USBWrite,usbWriteTaskEntry: write failed(0!=77).
12:22:53.240,19-09-07,0001246124,USBWrite,Datagram write error: 1!
12:22:53.240,19-09-07,0001246124,USBWrite,usbWriteTaskEntry: write failed(0!=77).
12:23:09.240,19-09-07,0001247624,USBWrite,Datagram write error: 1!
